BITSLC0201	进口信用证/保兑修改/修改确认登记
BITSJD0108	国内证委托收款录入审批3
BITSCM0308	通用额度提用归还复核
BITSHS0104	进口来单业务查询（历史库）
BITSGP0102	国际对外担保/备用证来单录入登记复核
BITSLC0107	进口信用证/保兑开立审批2
BITSYF0306	国内证议付还款审批1
BITSTP0501	转让证来单查询
BITSCM0204	寄出信函单据登记
BITSLA0604	信用证通知状态维护经办
BITSTP0305	转让证来单付款复核
BITSLP0305	来单承兑复核
BITSCM0207	商品名称维护
BITSTP0207	转让证来单修改审批2
BITSBF0309	进口押汇还款提交记账
BITSBY0104	国内证买方押汇放款经办
BITSLP0710	来单拒付/退单/放单取消记账
BITSBP0109	出口议付录入提交记账
BITSLD0605	国内证来单电提不符点复核
BITSNF0308	无追索权出口保理应收账款买断还款审批3
BITSCM0402	函电维护取消记账
BITSJP0110	进口代理付款放款取消记账
BITSBP0305	出口议付修改复核
BITSFT0308	国内证卖方福费廷买断还款审批3
BITSJP0304	进口代理付款还款经办
BITSLT0109	转让证开立提交记账
BITSSP0201	国内涉外担保来单修改登记
BITSGP0310	国际对外担保/备用证来单拒付/退单/撤销取消记账
BITSJD0306	国内证委托收款修改审批1
BITSRP0308	出口风险参与闭卷审批3
BITSLD0501	国内证来单付款确认修改登记
BITSBP0406	出口退汇审批1
BITSXT0410	国内证通知闭卷/撤销取消记账
BITSHS0101	进口开证业务查询（历史库）
BITSIF1101	进口发票业务查询
BITSTASK02	已办队列
BITSGP0409	国际对外担保/备用证付款提交记账
BITSLD0702	国内证来单拒付/退单/放单登记复核
BITSEF1201	出口保理费用明细查询
BITSPF0110	出口保理预付融资录入取消记账
BITSSP0307	国内涉外担保来单拒付/退单/撤销审批2
BITSFF0310	有追索权出口保理融资还款取消记账
BITSAF0102	协议融资录入登记复核
BITSCP0110	出口保兑录入取消记账
BITSSG0305	国内涉外担保撤销/闭卷复核
BITSPF0109	出口保理预付融资录入提交记账
BITSIC0405	进口代收修改复核
BITSTP0208	转让证来单修改审批3
BITSLP0109	来单录入提交记账
BITSFB0310	其他贸易融资（出资）还款取消记账
BITSJD0102	国内证委托收款录入登记复核
BITSOC0109	出口托收录入提交记账
BITSJP0308	进口代理付款还款审批3
BITSSG0208	国内涉外担保修改审批3
BITSFC0102	国际保理争议通知登记复核
BITSLP0406	来单修改审批1
BITSLD0606	国内证来单电提不符点审批1
BITSFQ0305	国内证卖方福费廷转卖闭卷复核
BITSPO0309	出口订单融资还款提交记账
BITSXT0201	国内证通知修改登记
BITSBP0110	出口议付录入取消记账
BITSJD0304	国内证委托收款修改经办
BITSBP0408	出口退汇审批3
BITSDC0205	国内信用证修改/修改确认复核
BITSLP0309	来单承兑提交记账
BITSCM0901	上收分行集中打印
BITSLD0108	国内证来单录入审批3
BITSLD0204	国内证来单付款经办
BITSDC0209	国内信用证修改/修改确认提交记账
BITSSP0301	国内涉外担保来单拒付/退单/撤销登记
BITSIC0609	进口代收退单/转出/无偿放单/撤销提交记账
BITSSP0202	国内涉外担保来单修改登记复核
BITSTASK01	待办队列
BITSLA0210	信用证通知修改取消记账
BITSLG0102	国际对外担保/备用证开立登记复核
BITSBY0107	国内证买方押汇放款审批2
BITSLP0608	来单电提不符点审批3
BITSFS0105	进口代付放款复核
BITSLD0304	国内证来单付款确认经办
BITSGP0204	国际对外担保/备用证来单修改经办
BITSDC0309	国内信用证撤证/闭卷提交记账
BITSOC0501	出口托收查询
BITSBY0208	国内证买方押汇展期审批3
BITSFF0208	有追索权出口保理融资宽限审批3
BITSSP0109	国内涉外担保来单录入提交记账
BITSSF0109	出口押汇放款提交记账
BITSIF0502	进口保理发票转让修改登记复核
BITSLG0307	国际对外担保/备用证撤销/闭卷审批2
BITSCP0308	出口保兑释放审批3
BITSLG0304	国际对外担保/备用证撤销/闭卷经办
BITSBP0104	出口议付录入经办
BITSJP0109	进口代理付款放款提交记账
BITSJD0402	国内证委托收款退款登记复核
BITSDF0302	国内证代付还款登记复核
BITSLD0801	国内证来单查询
BITSTP0205	转让证来单修改复核
BITSLP0605	来单电提不符点复核
BITSLD0507	国内证来单付款确认修改审批2
BITSLG0311	国际对外担保/备用证撤销/闭卷前导查询
BITSSY0202	国内证卖方押汇宽限登记复核
BITSBF0308	进口押汇还款审批3
BITSIF0805	进口保理费收取复核
BITSCM0201	结算垫款及融资逾期利率维护
BITSEF0605	出口保理收汇复核
BITSLD0506	国内证来单付款确认修改审批1
BITSBY0206	国内证买方押汇展期审批1
BITSOC0304	出口托收修改经办
BITSCM1201	国际业务开始结束控制
BITSCM1153	国际业务电子审批报送申请
BITSCM1101	（信用证）电子审批报送客户经理岗
BITSCM1102	（信用证）电子审批报送经办分支行（部门）负责人岗
BITSCM1103	（信用证）电子审批报送辖属行分行国际部经办岗
BITSCM1104	（信用证）电子审批报送辖属行分行国际部复核岗
BITSCM1105	（信用证）电子审批报送辖属行分行国际部审批岗
BITSCM1106	（信用证）电子审批报送辖属行分行国际部主管行长岗
BITSCM1107	（信用证）电子审批报送省直分行国际部经办岗
BITSCM1108	（信用证）电子审批报送省直分行国际部复核岗
BITSCM1109	（信用证）电子审批报送省直分行国际部审批岗
BITSCM1110	（信用证）电子审批报送省直分行国际部主管行长岗
BITSCM1111	（信用证）电子审批报送总行国际部经办岗
BITSCM1112	（信用证）电子审批报送总行国际部复核岗
BITSCM1113	（信用证）电子审批报送总行国际部审批岗
BITSCM1114	（担保）电子审批报送客户经理岗
BITSCM1115	（担保）电子审批报送经办分支行（部门）负责人岗
BITSCM1116	（担保）电子审批报送辖属行分行国际部经办岗
BITSCM1117	（担保）电子审批报送辖属行分行国际部复核岗
BITSCM1118	（担保）电子审批报送辖属行分行国际部审批岗
BITSCM1119	（担保）电子审批报送辖属行分行国际部主管行长岗
BITSCM1120	（担保）电子审批报送省直分行国际部经办岗
BITSCM1121	（担保）电子审批报送省直分行国际部复核岗
BITSCM1122	（担保）电子审批报送省直分行国际部审批岗
BITSCM1123	（担保）电子审批报送省直分行国际部主管行长岗
BITSCM1124	（担保）电子审批报送总行国际部经办岗
BITSCM1125	（担保）电子审批报送总行国际部复核岗
BITSCM1126	（担保）电子审批报送总行国际部审批岗
BITSCM1127	（贸易融资）电子审批报送客户经理岗
BITSCM1128	（贸易融资）电子审批报送经办分支行（部门）负责人岗
BITSCM1129	（贸易融资）电子审批报送辖属行分行国际部经办岗
BITSCM1130	（贸易融资）电子审批报送辖属行分行国际部复核岗
BITSCM1131	（贸易融资）电子审批报送辖属行分行国际部审批岗
BITSCM1132	（贸易融资）电子审批报送辖属行分行国际部主管行长岗
BITSCM1133	（贸易融资）电子审批报送省直分行国际部经办岗
BITSCM1134	（贸易融资）电子审批报送省直分行国际部复核岗
BITSCM1135	（贸易融资）电子审批报送省直分行国际部审批岗
BITSCM1136	（贸易融资）电子审批报送省直分行国际部主管行长岗
BITSCM1137	（贸易融资）电子审批报送总行国际部经办岗
BITSCM1138	（贸易融资）电子审批报送总行国际部复核岗
BITSCM1139	（贸易融资）电子审批报送总行国际部审批岗
BITSCM1140	（进口保理）电子审批报送客户经理岗
BITSCM1141	（进口保理）电子审批报送经办分支行（部门）负责人岗
BITSCM1142	（进口保理）电子审批报送辖属行分行国际部经办岗
BITSCM1143	（进口保理）电子审批报送辖属行分行国际部复核岗
BITSCM1144	（进口保理）电子审批报送辖属行分行国际部审批岗
BITSCM1145	（进口保理）电子审批报送辖属行分行国际部主管行长岗
BITSCM1146	（进口保理）电子审批报送省直分行国际部经办岗
BITSCM1147	（进口保理）电子审批报送省直分行国际部复核岗
BITSCM1148	（进口保理）电子审批报送省直分行国际部审批岗
BITSCM1149	（进口保理）电子审批报送省直分行国际部主管行长岗
BITSCM1150	（进口保理）电子审批报送总行国际部经办岗
BITSCM1151	（进口保理）电子审批报送总行国际部复核岗
BITSCM1152	（进口保理）电子审批报送总行国际部审批岗
BITSCM1154	电子审批报送查询
BITSCM1155	国际业务电子审批待办队列
BITSCM1156	国际业务电子审批已办队列
BITSCM1301	潜在客户替换正式客户
BITSCM0234	贸易服务工作流监控统计
BITSCM1401	创新地区反洗钱监管信息查询
BITSCM1402	创新地区反洗钱监控信息维护
BITSFS0102	进口代付放款登记复核
BITSCM0231	上级行审批查询
BITSNF0109	无追索权出口保理应收账款买断放款提交记账
BITSGP0105	国际对外担保/备用证来单录入复核
BITSIF0804	进口保理费收取经办
BITSIC0206	进口代收付款审批1
BITSNF0310	无追索权出口保理应收账款买断还款取消记账
BITSJP0309	进口代理付款还款提交记账
BITSRP0102	出口风险参与录入登记复核
BITSGP0401	国际对外担保/备用证付款登记
BITSLP0505	来单承兑修改复核
BITSSP0410	国内涉外担保付款取消记账
BITSDC0401	国内信用证预开立登记
BITSIC0604	进口代收退单/转出/无偿放单/撤销经办
BITSBP0402	出口退汇登记复核
BITSLA0101	信用证通知录入登记
BITSIF0810	进口保理费收取取消记账
BITSEF0104	出口保理额度预/正式申请/催复经办
BITSXT0002	国内证其他登记复核
BITSSY0304	国内证卖方押汇还款经办
BITSIC0505	进口代收拒付复核
BITSIP0307	出口发票融资还款审批2
BITSRP0310	出口风险参与闭卷取消记账
BITSLA0302	信用证通知修改确认登记复核
BITSDC0105	国内证开立复核
BITSLD0505	国内证来单付款确认修改复核
BITSXT0411	国内证通知闭卷/撤销前导查询
BITSPF0301	出口保理预付融资闭卷登记
BITSFC0304	保理自由格式电文撰写经办
BITSLC0109	进口信用证/保兑开立提交记账
BITSEF0210	出口保理额度调整申请取消记账
BITSCM0211	结算垫款及融资逾期利率查询
BITSCM0602	保证金释放复核
BITSDF0206	国内证代付延展审批1
BITSFF0110	有追索权出口保理融资放款取消记账
BITSIF0305	进口保理额度预/正式/调整申请回复复核
BITSXT0701	国内证通知查询
BITSFB0109	其他贸易融资（出资）放款提交记账
BITSIF0904	进口保理费账单经办
BITSBP0401	出口退汇登记
BITSSG0209	国内涉外担保修改提交记账
BITSFC0310	保理自由格式电文撰写取消记账
BITSEF0105	出口保理额度预/正式申请/催复复核
BITSSO0105	福费廷转卖录入复核
BITSIF0710	进口保理间接付款/反转让取消记账
BITSFC0110	国际保理争议通知取消记账
BITSHS0116	国际对外担保/备用证来单业务查询（历史库）
BITSFT0307	国内证卖方福费廷买断还款审批2
BITSXT0210	国内证通知修改取消记账
BITSAP0204	协议付款修改经办
BITSSY0105	国内证卖方押汇放款复核
BITSCF0106	出口托收融资放款审批1
BITSLA0201	信用证通知修改登记
BITSLA0304	信用证通知修改确认经办
BITSFB0308	其他贸易融资（出资）还款审批3
BITSLD0206	国内证来单付款审批1
BITSAF0207	协议融资修改审批2
BITSBY0108	国内证买方押汇放款审批3
BITSAP0306	协议付款闭卷审批1
BITSPF0308	出口保理预付融资闭卷审批3
BITSLD0102	国内证来单录入登记复核
BITSIC0201	进口代收付款登记
BITSPF0105	出口保理预付融资录入复核
BITSIC0503	进口代收拒付登记补录入
BITSBP0105	出口议付录入复核
BITSHS0112	进口代收查询（历史库）
BITSOC0110	出口托收录入取消记账
BITSLA0410	信用证通知闭卷/撤销取消记账
BITSOC0301	出口托收修改登记
BITSDP0310	国内证代理付款还款取消记账
BITSCM0501	公共影像扫描交易
BITSTF0102	进口汇出汇款融资放款登记复核
BITSRP0104	出口风险参与录入经办
BITSSP0208	国内涉外担保来单修改审批3
BITSJD0201	国内证委托收款入账登记
BITSAF0204	协议融资修改经办
BITSFQ0105	国内证卖方福费廷转卖录入复核
BITSEF0804	出口保理间接付款/反转让经办
BITSFS0306	进口代付还款审批1
BITSCM0202	其他贸易融资产品名称维护
BITSEF0107	出口保理额度预/正式申请/催复审批2
BITSFB0202	其他贸易融资（出资）宽限登记复核
BITSLT0204	转让证修改经办
BITSLA0205	信用证通知修改复核
BITSFF0108	有追索权出口保理融资放款审批3
BITSAF0306	协议融资闭卷审批1
BITSAP0109	协议付款录入提交记账
BITSCM0703	公共收费取消记账
BITSLD0106	国内证来单录入审批1
BITSTF0109	进口汇出汇款融资放款提交记账
BITSLD0405	国内证来单修改复核
BITSCF0309	出口托收融资还款提交记账
BITSLD0207	国内证来单付款审批2
BITSFQ0307	国内证卖方福费廷转卖闭卷审批2
BITSJP0101	进口代理付款放款登记
BITSSG0110	国内涉外担保开立取消记账
BITSIF0308	进口保理额度预/正式/调整申请回复审批3
BITSBY0207	国内证买方押汇展期审批2
BITSFS0101	进口代付放款登记
BITSOC0101	出口托收录入登记
BITSSG0107	国内涉外担保开立审批2
BITSIF0709	进口保理间接付款/反转让提交记账
BITSLD0403	国内证来单录入修改登记补录入
BITSFC0201	国际保理争议处理/解决登记
BITSFQ0309	国内证卖方福费廷转卖闭卷提交记账
BITSSG0311	国内涉外担保撤销/闭卷前导查询
BITSJD0302	国内证委托收款修改登记复核
BITSGP0501	国际对外担保/备用证来单业务查询
BITSTF0310	进口汇出汇款融资还款取消记账
BITSRD0308	国内证卖方风险参与闭卷审批3
BITSFA0102	其他贸易融资（非出资）录入登记复核
BITSBP0405	出口退汇复核
BITSFT0107	国内证卖方福费廷买断放款审批2
BITSSP0401	国内涉外担保付款登记
BITSLT0311	转让证撤销/闭卷新办理查询
BITSLD0709	国内证来单拒付/退单/放单提交记账
BITSIC0209	进口代收付款提交记账
BITSLT0106	转让证开立审批1
BITSIF0110	受理进口保理额度预/正式申请取消记账
BITSLP0405	来单修改复核
BITSTF0204	进口汇出汇款融资展期经办
BITSBP0101	出口议付录入登记
BITSAF0205	协议融资修改复核
BITSCP0108	出口保兑录入审批3
BITSSO0101	福费廷转卖录入登记
BITSIC0108	进口代收录入审批3
